fault_id,probability,failed,passed_correct,passed_wrong_sdc
1,0.00,0,864,0
1,0.05,706,158,0
1,0.10,814,50,0
1,0.15,845,19,0
1,0.20,858,6,0
1,0.25,861,3,0
1,0.30,862,2,0
1,0.35,864,0,0
1,0.40,864,0,0
1,0.45,864,0,0
1,0.50,864,0,0
1,0.55,864,0,0
1,0.60,864,0,0
1,0.65,864,0,0
1,0.70,864,0,0
1,0.75,864,0,0
1,0.80,864,0,0
1,0.85,864,0,0
1,0.90,864,0,0
1,0.95,864,0,0
1,1.00,864,0,0
2,0.00,0,864,0
2,0.05,864,0,0
2,0.10,864,0,0
2,0.15,864,0,0
2,0.20,864,0,0
2,0.25,864,0,0
2,0.30,864,0,0
2,0.35,864,0,0
2,0.40,864,0,0
2,0.45,864,0,0
2,0.50,864,0,0
2,0.55,864,0,0
2,0.60,864,0,0
2,0.65,864,0,0
2,0.70,864,0,0
2,0.75,864,0,0
2,0.80,864,0,0
2,0.85,864,0,0
2,0.90,864,0,0
2,0.95,864,0,0
2,1.00,864,0,0
3,0.00,0,864,0
3,0.05,777,87,0
3,0.10,824,40,0
3,0.15,834,30,0
3,0.20,837,27,0
3,0.25,836,28,0
3,0.30,837,27,0
3,0.35,837,27,0
3,0.40,837,27,0
3,0.45,837,27,0
3,0.50,837,27,0
3,0.55,837,27,0
3,0.60,837,27,0
3,0.65,837,27,0
3,0.70,837,27,0
3,0.75,837,27,0
3,0.80,837,27,0
3,0.85,837,27,0
3,0.90,837,27,0
3,0.95,837,27,0
3,1.00,837,27,0
4,0.00,0,864,0
4,0.05,0,864,0
4,0.10,0,864,0
4,0.15,0,864,0
4,0.20,0,864,0
4,0.25,0,864,0
4,0.30,0,864,0
4,0.35,0,864,0
4,0.40,0,864,0
4,0.45,0,864,0
4,0.50,0,864,0
4,0.55,0,864,0
4,0.60,0,864,0
4,0.65,0,864,0
4,0.70,0,864,0
4,0.75,0,864,0
4,0.80,0,864,0
4,0.85,0,864,0
4,0.90,0,864,0
