Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 28.57      0.02     0.02  2590128     0.01     0.01  HPL_bcast_1ring
 14.29      0.03     0.01   971064     0.01     0.01  HPL_lmul
 14.29      0.04     0.01   504216     0.02     0.03  HPL_rand
 14.29      0.05     0.01   303768     0.03     0.03  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_valptr() const
 14.29      0.06     0.01   138798     0.07     0.07  void ulmBLAS::ref::ugemm<int, double>(int, double const&, double const*, double const*, double const&, double*, int, int, double const*, double const*)
 14.29      0.07     0.01    13887     0.72     1.23  void ulmBLAS::mgemm<int, double, double, double>(int, int, int, double const&, double const*, double const*, double const&, double*, int, int)
  0.00      0.07     0.00  2608686     0.00     0.01  HPL_bcast
  0.00      0.07     0.00   898200     0.00     0.00  HPL_ladd
  0.00      0.07     0.00   821880     0.00     0.01  HPL_setran
  0.00      0.07     0.00   374886     0.00     0.00  void ulmBLAS::copy<int, double, double>(int, bool, double const*, int, double*, int)
  0.00      0.07     0.00   364509     0.00     0.00  std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.07     0.00   364509     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.07     0.00   329526     0.00     0.00  std::enable_if<std::is_fundamental<double>::value, double const&>::type ulmBLAS::conjugate<double>(double const&, bool)
  0.00      0.07     0.00   312480     0.00     0.02  HPL_jumpit
  0.00      0.07     0.00   309248     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.07     0.00   303776     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.07     0.00   303768     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_ptr() const
